Id,Category
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,0
434,1
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,0
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,0
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,1
583,0
584,1
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,0
604,0
605,1
606,1
607,0
608,1
609,1
610,1
611,0
612,1
613,1
614,0
615,1
616,0
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,1
637,1
638,0
639,0
640,0
641,0
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,1
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,0
737,0
738,0
739,1
740,0
741,1
742,0
743,0
744,0
745,1
746,0
747,1
748,1
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,1
786,1
787,0
788,0
789,0
790,1
791,0
792,1
793,0
794,0
795,1
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,1
804,1
805,0
806,1
807,1
808,0
809,1
810,1
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,0
824,1
825,0
826,0
827,1
828,1
829,0
830,1
831,0
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,1
841,0
842,1
843,1
844,1
